pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
CH,681082,668678,13,L,R,X,0.504
FF,547180,668678,2,L,R,X,2.0
CH,607208,668678,8,R,R,X,0.29
KC,656941,668678,5,L,R,X,2.0
FF,606466,554430,14,L,R,X,0.363
FF,682998,554430,6,L,R,X,0.693
FF,672695,554430,2,L,R,X,0.908
FF,669016,668678,3,L,R,X,0.685
SL,592206,668678,9,R,R,X,1.116
FF,677950,554430,12,L,R,X,0.049
FF,666971,554430,9,R,R,X,0.693
CH,592663,668678,13,R,R,X,0.587
FC,681082,668678,3,L,R,X,0.056
FF,664761,668678,5,R,R,X,0.33
FF,672515,554430,4,R,R,X,0.73
FF,606466,554430,11,L,R,X,0.179
SI,682998,554430,7,L,R,X,0.529
FF,547180,668678,8,L,R,X,0.29
FC,656941,668678,2,L,R,X,0.02
FF,677950,554430,5,L,R,X,0.082
FF,666971,554430,3,R,R,X,0.213
FF,669016,668678,2,L,R,X,0.094
ST,656976,554430,9,L,R,X,0.153
SI,672515,554430,4,R,R,X,0.455
FF,606466,554430,5,L,R,X,0.07
FC,592663,668678,13,R,R,X,0.583
KC,681082,668678,14,L,R,X,0.943
FF,664761,668678,1,R,R,X,0.005
FF,547180,668678,8,L,R,X,0.615
FF,607208,668678,2,R,R,X,0.003
KC,656941,668678,9,L,R,X,0.279
SL,608369,519151,5,L,R,X,1.539
SL,543760,519151,14,R,R,X,0.807
FF,641680,519151,9,L,R,X,0.593
SL,641598,519151,2,R,R,X,0.235
SL,608324,600917,9,R,R,X,0.512
SL,643289,600917,6,R,R,X,0.313
CH,514888,600917,7,R,R,X,0.656
SI,673237,600917,4,R,R,X,0.519
CU,665750,519151,4,L,R,X,0.321
FF,663656,547973,8,L,L,X,0.549
SI,547989,547973,2,R,L,X,0.012
FS,608369,593576,7,L,R,X,0.064
FS,543760,593576,8,R,R,X,0.178
FF,641680,593576,5,L,R,X,0.402
CU,514888,622250,9,R,R,X,1.14
FF,641598,593576,12,R,R,X,0.011
SL,673962,434378,14,R,R,X,0.838
CH,665750,434378,4,L,R,X,0.036
FF,666969,434378,4,R,R,X,1.558
SL,608369,434378,5,L,R,X,0.76
SL,543760,434378,5,R,R,X,0.11
CU,665161,622250,6,R,R,X,0.455
CU,676801,622250,14,R,R,X,0.311
CU,547989,656756,14,R,L,X,0.608
SI,670541,656756,9,L,L,X,0.444
FF,641680,434378,6,L,R,X,0.003
FF,663993,434378,1,L,R,X,0.721
FF,673962,434378,2,R,R,X,0.073
CU,514888,656756,14,R,L,X,0.144
SI,455117,656756,12,R,L,X,0.02
SI,665161,656756,9,R,L,X,0.124
FF,676801,656756,4,R,L,X,0.148
CU,663656,656756,5,L,L,X,0.654
CH,665750,434378,11,L,R,X,0.004
SL,666969,434378,5,R,R,X,0.036
SI,608324,656756,8,R,L,X,0.584
FF,608369,434378,5,L,R,X,0.154
FF,543760,434378,2,R,R,X,0.0
FF,641680,434378,12,L,R,X,0.552
FF,663993,434378,2,L,R,X,0.055
FF,643289,656756,1,R,L,X,0.546
CH,514888,656756,3,R,L,X,0.053
SI,455117,656756,6,R,L,X,0.11
CU,673962,434378,5,R,R,X,0.414
FF,666969,434378,14,R,R,X,0.119
CU,665161,656756,6,R,L,X,0.401
FF,676801,656756,1,R,L,X,0.153
SI,663656,656756,8,L,L,X,0.405
FF,608369,434378,2,L,R,X,0.0
FF,543760,434378,2,R,R,X,0.023
SI,547989,656756,9,R,L,X,0.37
CU,670541,656756,5,L,L,X,0.91
SI,608324,656756,2,R,L,X,1.717
SI,643289,656756,14,R,L,X,0.179
SI,514888,656756,12,R,L,X,0.546
ST,656941,623149,3,L,R,X,0.291
